x,y,z
0.150000,-0.573576,-0.819152
0.150000,-0.458861,-0.655322
0.150000,-0.344146,-0.491491
0.150000,-0.229431,-0.327661
0.150000,-0.114715,-0.163830
0.150000,0.000000,0.000000
0.150000,0.114715,0.163830
0.150000,0.229431,0.327661
0.150000,0.344146,0.491491
0.150000,0.458861,0.655322
-0.150000,0.573576,-0.819152
-0.150000,0.458861,-0.655322
-0.150000,0.344146,-0.491491
-0.150000,0.229431,-0.327661
-0.150000,0.114715,-0.163830
-0.150000,0.000000,0.000000
-0.150000,-0.114715,0.163830
-0.150000,-0.229431,0.327661
-0.150000,-0.344146,0.491491
-0.150000,-0.458861,0.655322
